,SPY,HYG,EFA,EEM,TLT,GLD,SLV,DBC,VNQ,IEV,IEF,SHY
SPY,0.00011783052106814556,4.311360992617336e-05,0.0001084903888161464,0.0001146813364772947,-2.9925328100698553e-05,6.796955862273184e-06,4.8334253025603455e-05,4.5222234084608713e-05,0.00010439029321659663,0.00011454399749413829,-1.1660285426958736e-05,-1.036791229956251e-06
HYG,4.311360992617336e-05,2.8089260804373044e-05,4.446112494241378e-05,4.7224425160477964e-05,-4.31000762724975e-06,6.494890215849397e-06,2.365133182416163e-05,2.0753087483887602e-05,4.600865594055694e-05,4.744042218498005e-05,-2.517158515932394e-07,6.410985228242646e-07
EFA,0.0001084903888161464,4.446112494241378e-05,0.00013776281147574954,0.00013570532816420438,-3.0788760281396505e-05,1.927819916928577e-05,7.223804289263383e-05,5.316545962806574e-05,0.00010330719726870749,0.00014634422788270863,-1.1209008587305812e-05,-6.347074776627702e-07
EEM,0.0001146813364772947,4.7224425160477964e-05,0.00013570532816420438,0.0001845073116796253,-3.109504201705375e-05,2.757306758129434e-05,9.147454622712393e-05,6.346452773591449e-05,0.00010575234837257203,0.00014182543230698144,-1.1519399270505466e-05,-7.633704629487021e-07
TLT,-2.9925328100698553e-05,-4.31000762724975e-06,-3.0788760281396505e-05,-3.109504201705375e-05,8.954986370869652e-05,2.0330084763157315e-05,1.0726793740338119e-05,-2.2345508707942246e-05,-1.0504353460618189e-05,-3.4239531510344115e-05,3.6212838241028115e-05,4.656026185813067e-06
GLD,6.796955862273184e-06,6.494890215849397e-06,1.927819916928577e-05,2.757306758129434e-05,2.0330084763157315e-05,0.0001092821412567058,0.00016544489393887458,3.5574010155304917e-05,1.5966429981917933e-05,1.9988258467021534e-05,1.1785924886955047e-05,2.4343008548030665e-06
SLV,4.8334253025603455e-05,2.365133182416163e-05,7.223804289263383e-05,9.147454622712393e-05,1.0726793740338119e-05,0.00016544489393887458,0.00040586620736657645,8.870574971322474e-05,5.681744685101423e-05,7.723480714756405e-05,8.981356901785553e-06,2.5825678327430464e-06
DBC,4.5222234084608713e-05,2.0753087483887602e-05,5.316545962806574e-05,6.346452773591449e-05,-2.2345508707942246e-05,3.5574010155304917e-05,8.870574971322474e-05,0.00012095721587113432,3.9772332909523683e-05,5.676918253452405e-05,-8.433249697883152e-06,-9.099300497875441e-07
VNQ,0.00010439029321659663,4.600865594055694e-05,0.00010330719726870749,0.00010575234837257203,-1.0504353460618189e-05,1.5966429981917933e-05,5.681744685101423e-05,3.9772332909523683e-05,0.00016762000267749286,0.00010994951869050416,-1.8622863979725828e-06,7.016880409289534e-07
IEV,0.00011454399749413829,4.744042218498005e-05,0.00014634422788270863,0.00014182543230698144,-3.4239531510344115e-05,1.9988258467021534e-05,7.723480714756405e-05,5.676918253452405e-05,0.00010994951869050416,0.0001638720758180176,-1.251882967324561e-05,-7.311567472960342e-07
IEF,-1.1660285426958736e-05,-2.517158515932394e-07,-1.1209008587305812e-05,-1.1519399270505466e-05,3.6212838241028115e-05,1.1785924886955047e-05,8.981356901785553e-06,-8.433249697883152e-06,-1.8622863979725828e-06,-1.251882967324561e-05,1.7504638905409556e-05,2.8089831401810067e-06
SHY,-1.036791229956251e-06,6.410985228242646e-07,-6.347074776627702e-07,-7.633704629487021e-07,4.656026185813067e-06,2.4343008548030665e-06,2.5825678327430464e-06,-9.099300497875441e-07,7.016880409289534e-07,-7.311567472960342e-07,2.8089831401810067e-06,8.189433245277592e-07
