Date,SPY,HYG,EFA,EEM,TLT,GLD,SLV,DBC,VNQ,IEV,IEF,SHY
2010-01-04,113.33,88.53,56.73,42.71,89.81,109.8,17.23,25.24,44.55,40.0,88.82,83.07
2010-01-05,113.63,88.95,56.78,43.02,90.39,109.7,17.51,25.27,44.5,40.04,89.21,83.17
2010-01-06,113.71,89.18,57.02,43.11,89.18,111.51,17.86,25.72,44.42,40.09,88.85,83.18
2010-01-07,114.19,89.54,56.8,42.86,89.33,110.82,17.89,25.4,44.9,39.96,88.85,83.16
2010-01-08,114.57,89.68,57.25,43.2,89.29,111.37,18.15,25.38,44.57,40.28,88.96,83.2398
2010-01-11,114.73,89.6,57.72,43.11,88.8,112.85,18.21,25.3,44.83,40.61,89.02,83.28
2010-01-12,113.66,89.14,57.04,42.42,90.32,110.49,17.91,24.76,44.08,40.05,89.66,83.35
2010-01-13,114.62,89.34,57.52,42.55,89.27,111.54,18.27,24.78,44.97,40.51,89.23,83.28
2010-01-14,114.93,89.44,57.96,42.44,90.52,112.03,18.31,24.65,44.93,40.53,89.65,83.36
2010-01-15,113.64,89.08,57.05,41.9493,91.08,110.86,18.05,24.37,44.59,39.8,90.05,83.43
2010-01-19,115.06,89.118,57.61,42.8,90.82,111.52,18.45,24.53,45.5,40.22,89.89,83.45
2010-01-20,113.89,88.99,56.14,41.77,91.74,108.94,17.57,24.07,44.99,39.19,90.2,83.45
2010-01-21,111.7,87.6,54.94,40.5075,92.16,107.37,17.07,23.77,43.7,37.98,90.53,83.52
2010-01-22,109.21,86.77,53.87,39.61,92.0,107.17,16.78,23.52,42.6,37.09,90.61,83.59
2010-01-25,109.77,86.9,54.53,39.9,91.58,107.48,16.83,23.63,42.9,37.74,90.41,83.52
2010-01-26,109.31,87.01,54.22,39.07,91.61,107.56,16.43,23.37,42.5,37.6,90.59,83.53
2010-01-27,109.83,87.04,54.16,38.97,91.56,106.528,16.26,23.03,42.88,37.79,90.38,83.4983
2010-01-28,108.57,86.67,53.25,38.7,91.51,106.48,15.92,22.95,42.51,36.83,90.35,83.54
2010-01-29,107.39,86.23,52.48,38.28,92.31,105.96,15.9,22.69,42.27,36.39,90.7,83.62
2010-02-01,109.06,85.98,53.44,39.31,91.15,108.35,16.36,23.24,43.04,37.12,90.09,83.5
2010-02-02,110.38,86.24,54.33,39.63,91.41,109.13,16.35,23.74,43.63,37.72,90.24,83.51
2010-02-03,109.83,86.68,53.76,39.4,90.35,108.7,16.07,23.45,42.92,37.36,89.81,83.45
2010-02-04,106.44,85.45,51.57,37.62,91.78,104.37,15.04,22.67,41.33,35.66,90.55,83.57
2010-02-05,106.66,84.95,51.48,37.2,91.98,104.68,14.9,22.38,42.09,34.98,90.84,83.7
2010-02-08,105.89,84.58,50.46,36.83,92.1,104.04,14.75,22.39,41.17,34.59,90.76,83.64
2010-02-09,107.22,84.75,52.05,38.03,91.18,105.41,15.12,22.79,41.04,35.84,90.27,83.56
2010-02-10,107.01,83.61,51.72,37.93,90.31,105.12,14.95,22.88,41.12,35.65,90.02,83.47
2010-02-11,108.13,83.948,52.2,38.93,89.82,107.13,15.37,23.15,41.508,35.91,89.91,83.5
2010-02-12,108.04,83.9,51.75,38.44,90.19,107.04,15.24,23.02,42.0,35.6,90.12,83.57
2010-02-16,109.74,84.73,52.9,39.43,90.36,109.62,15.82,23.72,43.19,36.42,90.32,83.58
2010-02-17,110.26,85.38,52.97,39.57,89.33,109.25,15.74,23.6,43.58,36.38,89.84,83.51
2010-02-18,110.91,86.19,53.27,39.72,88.97,109.98,15.88,23.81,44.23,36.56,89.52,83.46
2010-02-19,111.14,86.77,52.94,39.38,89.45,109.47,15.97,23.95,44.26,36.54,89.57,83.43
2010-02-22,111.16,86.88,53.04,39.43,89.08,109.07,15.9,23.82,44.37,36.59,89.5,83.46
2010-02-23,109.81,86.25,52.29,38.52,90.47,107.89,15.57,23.43,44.03,35.82,90.18,83.53
2010-02-24,110.82,86.58,52.62,38.89,90.69,107.36,15.62,23.62,44.48,36.16,90.23,83.57
2010-02-25,110.67,86.59,52.3,38.57,91.2,108.31,15.77,23.22,44.65,35.84,90.56,83.64
2010-02-26,110.74,87.17,52.62,38.96,91.67,109.43,16.07,23.63,44.63,36.02,90.695,83.67
2010-03-01,111.89,86.59,53.03,39.62,91.34,109.43,16.11,23.39,45.01,36.1,90.55,83.58
2010-03-02,112.2,87.15,53.43,40.066,91.22,111.02,16.56,23.64,45.03,36.58,90.6,83.58
2010-03-03,112.3,87.24,54.07,40.12,90.99,111.63,16.82,23.87,44.91,37.02,90.51,83.57
2010-03-04,112.641,87.31,53.93,39.91,91.47,110.83,16.79,23.66,45.19,37.07,90.67,83.54
2010-03-05,114.25,87.83,54.98,40.95,90.27,110.81,17.01,23.94,46.42,37.84,90.24,83.47
2010-03-08,114.27,87.85,54.98,40.98,89.8,109.88,16.89,23.91,46.89,37.69,90.0,83.43
2010-03-09,114.46,88.23,54.85,41.21,89.82,109.718,16.92,23.65,47.0,37.63,90.23,83.49
2010-03-10,114.97,88.26,55.08,41.5,89.59,108.47,16.66,23.72,47.42,37.79,90.08,83.47
2010-03-11,115.45,88.18,55.29,41.51,89.92,108.6,16.81,23.66,47.7,38.11,90.0,83.37
2010-03-12,115.46,88.2,55.66,41.37,90.48,107.95,16.76,23.52,48.08,38.29,90.14,83.38
2010-03-15,115.49,88.1,55.27,41.07,90.36,108.36,16.74,23.24,47.97,37.88,90.14,83.41
2010-03-16,116.41,88.396,55.97,41.6,91.08,110.4,17.05,23.55,49.13,38.5,90.49,83.43
2010-03-17,117.1,88.4,56.27,42.05,91.47,109.59,17.08,23.76,49.86,38.61,90.6,83.45
2010-03-18,117.0375,88.53,55.9425,41.73,91.17,110.34,17.08,23.71,49.59,38.34,90.36,83.4
2010-03-19,115.97,88.09,55.37,41.19,91.26,108.28,16.65,23.42,49.05,37.91,90.24,83.34
2010-03-22,116.5925,88.51,55.53,41.34,91.36,107.75,16.6,23.42,49.67,37.96,90.54,83.37
2010-03-23,117.41,88.5,55.92,41.63,90.93,108.32,16.72,23.32,49.53,38.18,90.35,83.34
2010-03-24,116.84,88.45,55.0,41.01,89.27,106.3,16.29,23.06,49.8,37.59,89.45,83.21
2010-03-25,116.65,88.66,54.97,40.9,88.7,106.78,16.32,22.93,49.55,37.61,89.12,83.24
2010-03-26,116.582,88.63,55.51,41.1,88.95,108.59,16.61,22.97,49.29,37.9,89.33,83.29
2010-03-29,117.32,88.74,55.98,41.84,88.61,108.75,17.04,23.49,49.44,38.26,89.2,83.33
2010-03-30,117.4,88.65,55.98,42.0,88.89,107.97,16.95,23.54,49.37,38.09,89.29,83.31
2010-03-31,117.0,88.37,55.98,42.1225,89.5,108.95,17.14,23.52,48.81,38.34,89.5,83.37
2010-04-01,117.8,87.5,56.97,43.22,88.95,110.26,17.54,23.98,49.06,38.97,89.06,83.26
2010-04-05,118.76,87.46,57.03,43.61,87.47,110.89,17.75,24.36,50.14,39.18,88.26,83.03
2010-04-06,119.04,88.03,56.87,43.74,87.61,111.03,17.61,24.34,51.29,38.91,88.52,83.09
2010-04-07,118.36,88.16,56.47,43.36,88.73,112.49,17.77,24.25,50.16,38.48,89.07,83.22
2010-04-08,118.7725,88.31,56.41,43.5125,88.77,112.65,17.72,24.21,50.22,38.46,88.97,83.2
2010-04-09,119.55,88.44,57.15,43.78,88.98,113.64,18.01,24.26,50.93,39.02,89.07,83.22
2010-04-12,119.74,88.46,57.33,43.43,89.45,113.01,17.8,24.24,50.61,39.33,89.31,83.26
2010-04-13,119.83,88.7,57.28,43.34,89.74,112.69,17.84,24.33,51.85,39.35,89.48,83.24
2010-04-14,121.19,88.94,58.04,43.98,89.11,113.03,18.07,24.61,51.93,39.91,89.24,83.24
2010-04-15,121.29,89.18,58.0,43.74,89.21,113.65,18.07,24.7,50.51,39.77,89.39,83.3
2010-04-16,119.36,88.46,56.72,42.46,89.86,111.24,17.41,24.25,49.35,38.92,89.93,83.43
2010-04-19,119.81,88.29,56.57,42.29,89.64,111.15,17.38,23.94,49.57,38.77,89.71,83.35
2010-04-20,120.88,89.24,56.92,42.79,89.96,111.46,17.48,24.13,50.41,39.1,89.75,83.36
2010-04-21,120.66,89.25,56.55,42.65,90.7,112.31,17.77,24.25,51.29,38.78,90.04,83.37
2010-04-22,121.02,88.99,56.04,42.83,90.43,111.84,17.64,24.31,52.08,38.36,89.83,83.31
2010-04-23,121.8125,89.57,56.46,43.06,90.11,113.19,17.91,24.47,52.77,38.69,89.58,83.28
2010-04-26,121.35,89.57,56.52,43.06,90.21,112.75,17.93,24.35,53.19,38.63,89.64,83.28
2010-04-27,118.48,88.44,54.25,41.515,91.48,114.63,17.88,23.98,51.49,36.91,90.48,83.44
2010-04-28,119.38,88.5,54.26,41.87,90.7,114.31,17.75,24.06,51.65,36.73,90.02,83.42
2010-04-29,120.8575,89.11,55.1,42.56,91.08,114.28,18.14,24.25,53.98,37.41,90.17,83.44
2010-04-30,118.8125,89.4,54.41,42.05,92.13,115.36,18.26,24.44,52.3,36.83,90.72,83.54
2010-05-03,120.35,88.75,54.8,42.28,91.69,115.73,18.42,24.56,54.04,37.09,90.21,83.38
2010-05-04,117.52,87.84,52.63,40.34,93.34,114.87,17.59,23.9,52.81,35.6,90.82,83.43
2010-05-05,116.82,86.64,51.62,39.61,93.89,115.09,17.11,23.36,52.1,34.64,91.17,83.54
2010-05-06,112.942,84.486,49.32,37.9901,96.79,118.486,17.32,22.8999,49.96,32.79,92.174,83.72
2010-05-07,111.26,84.48,49.21,38.19,95.58,118.27,18.0,22.78,49.12,32.6,91.92,83.69
2010-05-10,116.16,86.06,52.4,40.94,93.6,117.57,18.11,23.22,52.36,35.09,91.22,83.58
2010-05-11,115.83,85.96,51.55,40.2,93.36,120.656,18.95,23.18,52.67,34.9,91.33,83.63
2010-05-12,117.45,87.01,52.13,40.7,92.65,121.4,19.12,23.37,53.52,35.47,91.1,83.61
2010-05-13,115.99,86.47,51.45,40.32,93.26,120.56,18.99,23.17,52.65,34.69,91.35,83.66
2010-05-14,113.89,85.97,49.99,39.49,94.88,120.37,18.93,22.58,50.98,33.64,91.94,83.77
2010-05-17,113.95,85.86,50.06,39.25,94.53,119.36,18.53,21.94,51.05,33.62,91.74,83.74
2010-05-18,112.4,85.68,48.98,38.4275,95.98,119.49,18.57,21.91,49.76,32.98,92.41,83.83
2010-05-19,111.76,85.18,49.17,38.06,96.3,116.63,17.87,21.71,49.3,33.12,92.49,83.79
2010-05-20,107.54,82.64,47.46,36.165,98.33,115.84,17.35,21.26,46.77,32.08,93.39,83.89
2010-05-21,109.115,84.3,48.62,37.34,98.43,115.22,17.29,21.48,48.34,32.72,93.44,83.83
2010-05-24,107.71,84.43,47.51,36.95,98.09,116.84,17.56,21.46,47.26,31.87,93.44,83.82
2010-05-25,107.818,84.33,47.32,36.55,98.57,117.36,17.54,21.29,47.64,31.82,93.76,83.81
2010-05-26,107.17,83.32,46.62,36.53,98.29,118.47,17.74,21.52,47.54,31.37,93.57,83.74
2010-05-27,110.76,84.47,49.27,38.74,96.06,118.69,18.12,22.15,50.15,33.32,92.68,83.68
2010-05-28,109.369,84.61,48.32,38.1,96.5,118.881,18.03,21.96,49.51,32.64,93.1,83.84
2010-06-01,107.53,83.57,47.84,37.405,96.85,119.91,18.02,21.55,48.48,32.25,92.96,83.77
2010-06-02,110.33,84.0,49.12,38.71,95.93,119.78,17.978,21.81,49.43,33.25,92.43,83.71
2010-06-03,110.71,84.03,48.97,38.57,95.23,117.96,17.64,21.93,49.29,33.18,92.3,83.69
2010-06-04,106.82,83.56,46.88,37.2,97.79,119.19,17.05,21.25,46.5,31.55,93.58,83.88
2010-06-07,105.49,82.98,46.29,36.62,98.54,121.49,17.81,21.29,46.25,31.26,93.96,83.85
2010-06-08,106.62,83.11,47.03,37.46,98.05,121.0025,17.89,21.46,47.08,31.61,93.67,83.84
2010-06-09,106.05,83.294,46.86,37.26,97.94,120.56,17.76,21.56,47.36,31.52,93.68,83.85
2010-06-10,109.15,84.14,48.84,38.56,96.19,118.975,17.86,21.92,49.41,33.07,92.81,83.74
2010-06-11,109.68,84.2577,48.91,38.76,97.41,120.01,17.85,21.95,50.0,33.18,93.4,83.83
2010-06-14,109.509,84.37,49.22,38.77,96.91,119.6,17.86,22.01,50.62,33.41,93.32,83.85
2010-06-15,112.0,85.19,50.78,39.94,96.51,120.99,18.19,22.38,51.75,34.61,93.03,83.81
2010-06-16,111.96,85.26,50.54,39.94,97.06,120.33,18.08,22.43,51.28,34.28,93.29,83.83
2010-06-17,112.14,85.9,50.7,39.74,97.85,121.9,18.33,22.44,51.39,34.47,93.73,83.88
2010-06-18,111.729,86.27,50.61,39.92,97.69,122.83,18.75,22.4,51.23,34.51,93.54,83.89
2010-06-21,111.41,86.58,50.6,40.61,97.41,120.39,18.33,22.31,50.83,33.56,93.47,83.9
2010-06-22,109.57,85.96,49.96,39.83,98.57,121.45,18.42,22.26,49.32,33.25,94.03,83.94
2010-06-23,109.23,85.9,49.43,39.67,99.24,120.95,18.18,21.89,49.45,33.47,94.38,84.0
2010-06-24,107.42,85.31,48.57,38.97,98.65,121.3,18.26,21.94,47.95,32.87,94.3,84.02
2010-06-25,107.8675,85.7,48.85,39.43,99.05,122.76,18.67,22.34,49.16,32.94,94.45,84.05
2010-06-28,107.53,85.89,48.49,39.16,99.98,121.09,18.38,22.1,48.58,32.81,95.12,84.1
2010-06-29,104.21,85.03,46.83,37.57,101.07,121.27,18.13,21.49,46.99,31.58,95.53,84.14
2010-06-30,103.22,84.9,46.51,37.32,101.75,121.68,18.21,21.57,46.49,31.35,95.67,84.12
2010-07-01,102.76,84.68,47.19,37.59,101.6,117.04,17.44,21.24,46.33,31.88,95.38,84.02
2010-07-02,102.2,84.7,47.09,37.75,100.79,118.49,17.46,21.2,45.44,31.73,95.21,84.02
2010-07-06,102.87,85.37,48.03,38.45,101.62,116.51,17.4,21.26,44.43,32.45,95.44,84.02
